This sample was conducted with all retailers being selected using serp api for scraping

| Search Term        | API Time | Cached Time | Speedup | Results |
|--------------------|----------|-------------|---------|---------|
| AirPods            | 3.14s    | 2.25s       | 1.4x    | ~160    |
| Gaming Laptops     | 12.4s    | 1.86s       | 6.7x    | ~130    |
| Nike Running Shoes | 12.5s    | 1.9s        | 6.6x    | ~190    |
| Binch Chocolate    | 19.15s   | 1.70s       | 11.3x   | ~140    |
| Quest 2            | 9.2s     | 1.6s        | 5.75x   | ~120    |
| Nintendo Switch    | 9.4s     | 1.55s       | 6.1x    | ~160    |
| Xbox One X         | 7.91s    | 1.6s        | 4.9x    | ~110    |
| Gifts for GF       | 13.10s   | 1.68s       | 7.8x    | ~170    |
| Easter Bunny       | 8.33s    | 1.6s        | 5.2x    | ~200    |
| Mens Work Clothes  | 7.8s     | 1.78s       | 4.4x    | ~170    |
| Summer Dresses     | 8.76s    | 1.6s        | 5.5x    | ~170    |
| Nail Polish        | 11.21s   | 1.26s       | 8.9x    | ~20     |
|--------------------|----------|-------------|---------|---------|
| AVERAGE            | 10.24s   | 1.70s       | 6.2x    | ~145    |
|--------------------|----------|-------------|---------|---------|

Average improvement: 83.4% faster with caching
